Review ID,User Name,Review Content,Rating,Helpful Count,App Version,Review Date
8efc2db4-5085-49ba-8831-6b2acf3b85b3,Ali S.jahromi,all is for paying subscribers,1,0,6.68.1,2025-04-27 13:05:17
2942ae29-ab7c-43e8-9200-cb0c8d62055f,Cassandra Mattos,I love it,5,0,6.68.1,2025-04-27 02:32:10
bcc0b3df-d37f-4f32-a841-1d219301f75e,Verena Wettstein,I absolutely love this app. The sleep stories and meditations help me let go of my busy day and get to sleep much more easily. The reflections are amazing for my mental well-being. Definitely worth the subscription.,5,0,6.68.1,2025-04-26 17:11:43
804ca397-e04a-4214-be56-20e4683ca3a8,Marina Michaels,"Perfect sleep solution. I went from being able to fall aslerp instantly to lying awake for a long time. I wouldn't have thought sleep stories would help me sleep, but they do. My favorite stories are about Humphrey, a tuxedo cat. The Calm app has plenty of sleep stories, as well as music, meditations, and many related resources for relaxing and falling asleep. I've made some sleep story playlists that I listen to each night.The app is a bit buggy; sometimes it stops playing a sleep story.",5,6,6.68.1,2025-04-26 13:24:27
a14aee39-cbe9-4d27-bf1c-3eb6c5e56182,Sunny L.,"cancelled subscription, got charged next month.",1,0,6.67,2025-04-26 10:44:59
f06a07d0-54db-4e04-b4e3-995013715237,D. Colbert,"PURPOSELY FALSE & MISLEADING ADVERTISING: FAILED TO CLARIFY ""SUBSCRIPTION REQUIRED"" to hear anything they offer! ONCE AGAIN: NOT INTERESTED! Boycotting any apps attempting to force people to subscribe without a FREE TRIAL PERIOD to see if app even satisfies ones need(s). Your attempt is fuel for a TORT based LAWSUIT! And don't even think someone won't do it!",1,2,,2025-04-26 05:31:27
a4e6f76e-d338-4917-a9c6-2021d88edfca,Rob Fann,The only way one can use this is through a paid subscription.,1,1,6.68.1,2025-04-25 23:08:50
75c61fc0-0cf2-4b9c-8783-d7a045f8a594,Ann,waiting to try it tonite,4,0,6.44.3,2025-04-25 22:39:18
d735ee61-2b83-4e06-8c44-b647efda81a6,Louie Curl,it really helps me get to sleep and stay asleep,5,0,6.68.1,2025-04-25 21:54:08
e6e50237-63fc-4d5e-bf56-4e640b64c687,Nancy Tilden,"I LOVE the sleep stories & meditation/relaxation techniques. HOWEVER...I paid for a lifetime membership for the Premium pkg, and it seems to be gone. Can someone please take a look in to this?",5,0,6.68.1,2025-04-25 20:39:53
78970e15-6d89-4fe1-9714-6d66469f3884,Leia K,"I canceled my trial b4 the subscription period started, but yet I was still charged, and I have reached out thru email, but it keeps coming back saying it can't send bcus there is a problem ŵ the recipients inbox. I would like & appreciate a refund pls n thx",1,0,6.68.1,2025-04-25 17:13:38
09bedd89-0509-495f-8451-e0c0c037e390,Phill King,this app has become a lifesaver for me,5,0,6.68.1,2025-04-25 16:33:23
9b93347f-8b9c-4b3e-96b6-64a2f6fad16f,David Ross,Great way to start off the day,5,0,6.68.1,2025-04-25 10:55:07
4444ae7d-91bb-48f1-ae7e-65a0753d1a3b,Raerae,"This app is phenomenal. I use it every single night to sleep. I have been using it for years to listen to the thunderstorm. I don't use any paid features. Just last night, for the first time ever, there was a video advertisement with someone talking. I didn't click on anything to activate the ad. I had simply unlocked my phone, and the app was up because I was going to sleep. This is unacceptable, in my opinion. This app is used at full volume for me, and my husband was already asleep.",5,9,6.68.1,2025-04-25 10:49:03
15a24a33-da58-4d1d-9dab-666b47b2f7b6,Michael Driscoll,too many notifications,2,0,6.68.1,2025-04-25 09:02:08
a726337a-2d3d-4a45-961d-df751e356301,Katie Phillips,"The app's ux is annoying. It shows you what they want you to see instead of being able to drive your own content organization. Every time I open the app, I get 3 different popups before I can get back to the main page. I don't need the app asking me how I slept, how I liked the story, and suggesting random things. the kids content is also hard to find. If it weren't for the good stories the app would have made me quit long ago.",2,1,6.68.1,2025-04-24 22:49:21
e04c5642-670b-4d19-8fe9-6c94f377fe06,Susan Mitnick,"lovely, very relaxing 😌 ahhhh",4,0,6.68.1,2025-04-24 17:10:04
e18818c1-9efc-4213-b077-9fd7ba7030bc,Suzanne Gibson,Finding inner Peace....🖌️🎨💖🥰,5,0,6.68.1,2025-04-24 15:34:42
